project_id,family_id,depth,stars,forks,active_forks,users_repo,users_also_in_family,age,followers_repo,followers_family,followers_outside,pr_repo,pr_family,pr_repo_comments,pr_family_comments,pr_repo_code_comments,pr_family_code_comments,issue_repo,issue_family,issue_outside,issue_comments_repo,issue_comments_family,issue_comments_outside,issue_subscribed_repo,issue_subscribed_family,issue_subscribed_outside,issue_unsubscribed_repo,issue_unsubscribed_family,issue_unsubscribed_outside,issue_closed_repo,issue_closed_family,issue_closed_outside,issue_reopened_repo,issue_reopened_family,issue_reopened_outside,issue_referenced_repo,issue_referenced_family,issue_referenced_outside,issue_assigned_repo,issue_assigned_family,issue_assigned_outside,issue_mentioned_repo,issue_mentioned_family,issue_mentioned_outside,pr_mentioned_repo,pr_mentioned_family,pr_mentioned_outside,issue_mentioned_unique_repo,issue_mentioned_unique_family,issue_mentioned_unique_outside,pr_mentioned_unique_repo,pr_mentioned_unique_family,pr_mentioned_unique_outside,issue_repo_pos,issue_repo_neg,issue_family_pos,issue_family_neg,issue_outside_pos,issue_outside_neg,pr_repo_pos,pr_repo_neg,pr_family_pos,pr_family_neg,pr_repo_code_pos,pr_repo_code_neg,pr_family_code_pos,pr_family_code_neg
3108,72592,1,0,0,0,5,4,2403,3,25,3110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
5526,5526,0,353,121,18,6,3,2770,2,1,846,0,26,0,79,0,0,2,8,54,0,31,118,2,1,13,0,0,0,22,3,6,0,0,1,5,0,1,0,0,0,1,0,5,0,0,0,1,0,4,0,0,0,1,-1,1.1064,-1.0851,1.2742,-1.2312,1,-1,1.2803,-1.1515,1,-1,1,-1
5530,5526,1,1,0,0,3,2,2402,1,1,230,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1.5,1,-1,1,-1
5759,5759,0,3003,633,83,19,15,2851,6,6,1648,3,119,4,216,0,0,68,41,269,236,245,860,278,37,194,1,1,3,249,8,58,8,0,6,40,9,8,17,0,0,37,15,41,16,0,5,28,11,35,11,0,1,1.4055,-1.3123,1.5287,-1.3153,1.4391,-1.2766,1.5,-1,1.4369,-1.1636,1,-1,1,-1
6154,5759,1,0,0,0,1,0,2450,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
6411,6411,0,519,109,22,5,5,3022,0,9,1426,1,34,0,71,0,1,10,13,77,16,47,190,6,0,10,0,0,0,68,4,10,1,0,1,19,0,0,3,0,0,5,0,10,0,0,0,5,0,9,0,0,0,1.2121,-1.1818,1.2535,-1.1549,1.3713,-1.1596,1,-1,1.3206,-1.084,1,-1,1,-1
7104,7104,0,190,56,24,5,5,3122,0,0,642,1,35,9,140,0,7,1,10,18,8,32,63,9,5,20,0,0,0,16,1,2,0,0,0,4,1,0,0,0,0,6,3,7,23,7,1,3,3,6,14,3,1,1.3,-1.1,1.4,-1.48,1.4124,-1.1134,1.0909,-1,1.5,-1.1598,1,-1,1.2857,-1.2857
7113,7104,1,0,0,0,3,3,2430,0,0,382,0,8,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.3816,-1.0789,1,-1,1,-1
7648,5759,1,0,0,0,1,1,2409,0,0,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,2.2,-1.4,1,-1,1,-1
7664,5759,1,0,0,0,1,0,2409,0,0,9,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.2,-1.2,1,-1,1,-1
10316,10316,0,187,157,51,17,12,3309,1,4,595,0,77,0,186,0,0,44,14,76,120,92,315,15,6,11,0,0,0,53,5,6,6,0,0,63,5,0,0,0,0,10,9,4,0,0,0,6,5,4,0,0,0,1.2562,-1.266,1.373,-1.373,1.3429,-1.2806,1,-1,1.4167,-1.216,1,-1,1,-1
10396,10316,1,1,0,0,6,5,2677,0,4,325,2,7,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1.5769,-1.3462,1,-1,1,-1
11706,11706,0,1818,257,32,11,7,3543,7,41,4790,1,124,3,130,0,13,2,14,176,4,23,452,25,14,109,0,0,0,138,8,25,4,0,2,4,11,5,5,0,0,5,2,30,0,0,0,5,2,26,0,0,0,1.4286,-1,1.2083,-1.1042,1.3173,-1.2124,1,-1.4,1.2137,-1.1715,1,-1,1.3077,-1.2308
13235,13235,0,5959,701,160,29,22,2514,54,77,65157,36,224,87,804,1,25,42,38,188,151,170,675,93,36,82,0,0,0,151,6,41,6,0,2,40,24,1,5,0,0,80,32,67,0,2,2,53,19,56,0,2,1,1.2833,-1.1073,1.2395,-1.2017,1.2816,-1.206,1.1419,-1.1097,1.255,-1.1388,1,-1,1.04,-1
16897,16897,0,177,99,16,4,3,3458,0,1,307,0,22,0,35,0,0,2,3,74,0,9,199,25,0,31,0,0,1,40,2,20,2,0,6,6,0,0,2,0,0,4,0,8,0,0,0,3,0,7,0,0,0,1,-1,1.1333,-1.2667,1.4416,-1.1851,1,-1,1.2603,-1.0822,1,-1,1,-1
20374,20374,0,3559,1252,166,22,17,3411,1,5,1261,2,217,2,320,0,5,26,66,1723,44,154,4115,41,7,138,1,0,3,1695,2,109,45,0,17,26,8,7,1,0,0,41,3,60,0,0,0,36,3,53,0,0,0,1.125,-1.2292,1.3156,-1.2589,1.3451,-1.2671,1.4,-1.2,1.3104,-1.2697,1,-1,1.4,-1.8
22461,22461,0,33,39,26,4,4,2998,1,9,490,0,52,0,39,0,0,8,11,76,12,54,208,11,17,43,0,1,0,60,0,10,0,0,1,23,1,1,8,0,0,10,8,17,0,0,0,7,5,12,0,0,0,1.2308,-1.0769,1.2838,-1.2297,1.3344,-1.2006,1,-1,1.209,-1.1343,1,-1,1,-1
22463,22461,2,0,0,0,3,2,1934,0,4,236,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1,-1,1,-1.0769,1,-1,1,-1
