,document,topic,gamma
1,39720876,1,0.561985441
2,66483160,1,0.88663519
3,64859720,1,0.49571122
4,78793186,1,0.836153932
5,92052993,1,0.837630283
6,59511794,1,0.537672793
7,40386848,1,0.957232027
8,34479333,1,0.996742548
9,79541575,1,0.960840108
10,68073781,1,0.703619738
11,79812418,1,0.998947089
12,92653313,1,0.930454833
13,41260909,1,0.805583007
14,83162773,1,0.94016049
15,88820408,1,0.980902031
16,88649904,1,0.988763004
17,80815631,1,0.959043165
18,44798632,1,0.996185469
19,56636809,1,0.532574974
20,91159235,1,0.972849916
21,88568893,1,0.617388325
22,83249156,1,0.789855129
23,41194491,1,0.81621092
24,44089216,1,0.72213922
25,46847201,1,0.60817926
26,81164934,1,0.506045014
27,56666189,1,0.486945804
28,88147309,1,0.556877993
29,44793279,1,0.673943521
30,38826080,1,0.583640148
31,61375682,1,0.482194644
32,96392962,1,0.965929757
33,33721099,1,0.887787811
34,36269883,1,0.870057188
35,66237821,1,0.991418195
36,74815999,1,0.705773238
37,45172486,1,0.509976352
38,61147100,1,0.815582125
39,65892154,1,0.770757931
40,65829324,1,0.784806554
41,66722314,1,0.689764272
42,80782640,1,0.873952687
43,83549856,1,0.796317383
44,67460032,1,0.99005556
45,82496630,1,0.985292425
46,83605625,1,0.459731112
47,83836499,1,0.753377393
48,80301189,1,0.851673087
49,43600024,1,0.915142771
50,71540831,1,0.675500855
51,81072581,1,0.693333488
52,86262203,1,0.614058191
53,88589669,1,0.997496393
54,79532314,1,0.890111944
55,85225397,1,0.997705128
56,44292348,1,0.647459386
57,63626690,1,0.516606719
58,66919930,1,0.660350381
59,93470296,1,0.528753371
60,85213469,1,0.805482807
61,33171599,1,0.926877777
62,56891284,1,0.990957589
63,82722561,1,0.581037299
64,97768085,1,0.98401575
65,37219044,1,0.504776924
66,43278785,1,0.585092061
67,60923978,1,0.854741688
68,47978278,1,0.395387545
69,79546663,1,0.983238748
70,70002638,1,0.867308233
71,50013045,1,0.973263231
72,70897733,1,0.995634
73,53500432,1,0.759595676
74,46523992,1,0.472914619
75,84951409,1,0.973622071
76,99765557,1,0.646993338
77,63037656,1,0.998824532
78,85241961,1,0.518695689
79,92826360,1,0.772200782
80,97761346,1,0.690707601
81,51022071,1,0.61778013
82,35004139,1,0.5358344
83,54271713,1,0.509083306
84,58707020,1,0.69792971
85,85553726,1,0.488841702
86,50875742,1,0.801174631
87,54218579,1,0.73272939
88,90872085,1,0.727227068
89,50233781,1,0.651681632
90,95762518,1,0.978467145
91,41184968,1,0.964831706
92,69631476,1,0.988648265
93,75907923,1,0.966871265
94,97495216,1,0.699871001
95,86046733,1,0.90098047
96,53542539,1,0.651634878
97,67642188,1,0.90034159
98,87022548,1,0.786986888
99,66507745,1,0.345105967
100,41303990,1,0.590095516
101,67153419,1,0.979278009
102,53517652,1,0.80237665
103,53751243,1,0.48737595
104,64128442,1,0.487906053
105,36001005,1,0.714656558
106,41456508,1,0.853673126
107,48986999,1,0.517717498
108,56232060,1,0.641024075
109,42492977,1,0.882809725
110,94567895,1,0.686172594
111,49895945,1,0.935975482
112,50532264,1,0.826406173
113,71723452,1,0.70250444
114,98753877,1,0.618043525
115,41671972,1,0.368724184
116,71250944,1,0.846609012
117,73616513,1,0.644766171
118,50632018,1,0.787174725
119,58143658,1,0.992517887
120,62458011,1,0.989054151
121,76654847,1,0.549348615
122,59919788,1,0.96287295
123,64874393,1,0.372565184
124,42325166,1,0.86522644
125,49838531,1,0.605430805
126,59742320,1,0.961436684
127,69520378,1,0.751956177
128,94358245,1,0.918558765
129,39155688,1,0.654451759
130,56587701,1,0.994812916
131,56883656,1,0.995747351
132,64426274,1,0.916732332
133,72703934,1,0.923079974
134,77282555,1,0.375843633
135,79947306,1,0.58967577
136,65064868,1,0.564227445
137,92900269,1,0.763011314
138,56515790,1,0.820438665
139,67004107,1,0.408727672
140,51394150,1,0.931387479
141,53329675,1,0.285604394
142,56299516,1,0.932997572
143,63079133,1,0.588854164
144,85485735,1,0.611122022
145,76778342,1,0.931798368
146,82202173,1,0.960988702
147,86610623,1,0.987988905
148,62332406,1,0.613984755
149,75876146,1,0.910619394
150,79838740,1,0.996157754
151,85176063,1,0.757576288
152,39723686,1,0.394137578
153,44849203,1,0.952134313
154,85868471,1,0.830090851
155,51968844,1,0.346213303
156,66004361,1,0.941744928
157,71921772,1,0.738470577
158,97703968,1,0.556171744
159,35083187,1,0.977977159
160,39041563,1,0.903338541
161,50446574,1,0.924715609
162,55377031,1,0.407816638
163,62087260,1,0.37452794
164,79460049,1,0.505638088
165,79654443,1,0.971588796
166,82285180,1,0.59030902
167,90446281,1,0.891866904
168,36111719,1,0.773298287
169,40356504,1,0.576547177
170,41142618,1,0.880760642
171,45352161,1,0.5066323
172,51675876,1,0.929626138
173,61330751,1,0.463749033
174,67943784,1,0.767263754
175,33668347,1,0.78253833
176,41440872,1,0.871048359
177,44104925,1,0.530547739
178,75785404,1,0.983807083
179,47319852,1,0.993710175
180,64481827,1,0.736043986
181,68020316,1,0.552712629
182,68133317,1,0.53640237
183,85558549,1,0.659861039
184,36330779,1,0.495283103
185,39955861,1,0.541379511
186,54869212,1,0.578621697
187,62818967,1,0.537573643
188,67759862,1,0.504975571
189,67005655,1,0.983004693
190,71274017,1,0.638733909
191,74809360,1,0.807612843
192,36959891,1,0.40194286
193,53105716,1,0.942705108
194,71314877,1,0.509887925
195,81874865,1,0.490238103
196,66105573,1,0.825869765
197,83082133,1,0.9285126
198,89973966,1,0.670021546
199,96827371,1,0.866134633
200,42476436,1,0.737701974
201,56114764,1,0.939428256
202,59234955,1,0.582814269
203,63570413,1,0.684826738
204,74807477,1,0.959679224
205,76472177,1,0.41468835
206,38854530,1,0.385681841
207,41028873,1,0.519737396
208,49074363,1,0.942670967
209,52212697,1,0.99373777
210,59212650,1,0.997127596
211,68912298,1,0.966090456
212,69089139,1,0.596018375
213,87658192,1,0.569414208
214,92858004,1,0.627987953
215,43291527,1,0.632919518
216,43304136,1,0.766639916
217,49832936,1,0.328893226
218,50103148,1,0.742764692
219,53528554,1,0.695862861
220,64959423,1,0.910152331
221,86010704,1,0.94727243
222,95651794,1,0.634949012
223,37433868,1,0.967948179
224,37433871,1,0.967948179
225,43099275,1,0.391148828
226,58080799,1,0.692304271
227,68115865,1,0.916725825
228,76197325,1,0.978951383
229,81079866,1,0.82097721
230,38701496,1,0.939871697
231,41275664,1,0.980626051
232,42339746,1,0.608860943
233,45191141,1,0.769528365
234,45641505,1,0.947916048
235,45641668,1,0.862974623
236,53369179,1,0.647110621
237,57659789,1,0.649085772
238,59461963,1,0.797568019
239,65127734,1,0.516594676
240,78349571,1,0.979209572
241,82877906,1,0.937751459
242,89700811,1,0.779067339
243,54979968,1,0.54883891
244,55459370,1,0.943421777
245,66839916,1,0.931821954
246,91518477,1,0.876024765
247,98665603,1,0.57981471
248,47087698,1,0.436926531
249,47779097,1,0.897893363
250,49265377,1,0.990266699
251,56684063,1,0.524079408
252,66819797,1,0.536567232
253,70940764,1,0.704410573
254,81067430,1,0.570729664
255,41337451,1,0.718176417
256,49693962,1,0.494751546
257,49779797,1,0.77031443
258,62302426,1,0.889150664
259,62874610,1,0.664995805
260,72775007,1,0.79817076
261,76446912,1,0.477298096
262,79078754,1,0.371204166
263,83039585,1,0.691274373
264,83543793,1,0.889781858
265,84299669,1,0.350661425
266,89967502,1,0.897694222
267,90206189,1,0.733499963
