,document,topic,gamma
1,33601418,1,0.9808583
2,65239388,1,0.987619966
3,22272692,1,0.987862916
4,68362013,1,0.996221619
5,61647849,1,0.997897786
6,50296348,1,0.997752221
7,38520308,1,0.985255926
8,28236897,1,0.985087228
9,22751495,1,0.991679058
10,24230376,1,0.99687655
11,30216108,1,0.977324783
12,30622448,1,0.990422378
13,53459798,1,0.986627264
14,32563280,1,0.992397662
15,32563281,1,0.992397662
16,24729052,1,0.970959837
17,44719147,1,0.979042646
18,44237626,1,0.98694233
19,73476718,1,0.995807274
20,50432545,1,0.970566647
21,72627945,1,0.969114378
22,75794202,1,0.980980318
23,52381814,1,0.996003937
24,70138764,1,0.993865042
25,60290713,1,0.961121654
26,72465244,1,0.933636011
27,24295453,1,0.971454685
28,23226049,1,0.985593906
29,59076855,1,0.988326776
30,40759525,1,0.987476459
31,49981504,1,0.981021458
32,51990855,1,0.99222762
33,66727537,1,0.997038451
34,60768799,1,0.982613455
35,71400447,1,0.995338539
36,27581091,1,0.95337583
37,41890801,1,0.985562488
38,51448231,1,0.875519011
39,75303072,1,0.977361629
40,47669770,1,0.980511881
41,69190806,1,0.981782433
42,53270112,1,0.968376273
43,45137651,1,0.994087484
44,73556290,1,0.944136281
45,74754745,1,0.982370568
46,76746791,1,0.953922953
47,45132640,1,0.947887084
48,70922586,1,0.970096163
49,75625740,1,0.993259708
50,43132785,1,0.972692876
51,46142291,1,0.977634366
52,73366057,1,0.931243178
53,29056757,1,0.993714091
54,30102453,1,0.949308147
55,43785621,1,0.984443581
56,58663351,1,0.956486014
57,74206782,1,0.983855653
58,76160705,1,0.991553939
59,56920242,1,0.909535092
60,43766220,1,0.980640396
61,44723884,1,0.990758093
62,46411973,1,0.985543635
63,46771342,1,0.973350632
64,59945620,1,0.99287652
65,33029191,1,0.956232629
66,46620454,1,0.947058737
67,47498026,1,0.958083453
68,55742973,1,0.951475236
69,57202421,1,0.968647468
70,72283565,1,0.924675222
71,74196071,1,0.987468787
72,76472861,1,0.951990023
73,34960567,1,0.984666207
74,34960568,1,0.984666207
75,33711578,1,0.66568822
76,46974087,1,0.989824304
77,54066591,1,0.678289412
